program_id,age,average_rating,backdrop_path,bookmark_cnt,broadcasting_day,broadcasting_episode,broadcasting_station,end_flag,first_air_date,poster_img,program_num,rating_cnt,summary,title
1,,5.6,https://image.tmdb.org/t/p/original/jW61BMd1ZVWPXI7Ts4iC2BTx8Qj.jpg,,,,MBC,b'\x00',2022-04-10 15:00:00,https://image.tmdb.org/t/p/original/wNN9hJDV45BF2PiJQQVwBCiqLIl.jpg,196572,,사라진 엄마의 흔적을 쫓는 흙수저 변호사가 세상과 맞서 싸우기 위해 자신을 둘러싼 비밀 속으로 걸어 들어가는 치밀한 복수극,비밀의 집
2,,7.0,https://image.tmdb.org/t/p/original/FbUIi5WeDU5j1EtipQ274tts1E.jpg,,,,KBS1,b'\x00',2022-04-10 15:00:00,https://image.tmdb.org/t/p/original/qTiFIYd46mo6eMkdoECG1kQvN1l.jpg,197352,,"그녀의 이웃이라면 밥 한 끼 사주며 응원하고 싶은 어린 싱글맘의 고군분투 이야기, 쓰러져도 다시 일어나는 캔디 같은 그녀의 이야기를 통해 보는 이로 하여금 어느새 삶의 의지를 다져볼 수 있는, 위로 받고 치유 받는 가슴 따뜻한 이야기이다.

이미 정해진 밑그림에 채색만 하는 인생과 달리 스스로 인생의 밑그림을 그리고 그 안을 채워 나가는 동희의 이야기는 훨씬 다채롭고 흥미진진한 재미와 감동을 선사하게 될 것이다.

시대가 요구하는 성장은 무엇이고, 성공은 무엇인지, 무엇이 선이고, 무엇이 악인지를 함께 고민해볼 수 있으면 좋겠다.

현재를 살아가는 이들의 공감을 얻는 동시에 만고불변의 진리인 사랑을 이야기함으로써 세대를 초월한 가치를 담아내고자 한다.",으라차차 내 인생
3,,8.435,https://image.tmdb.org/t/p/original/8Xs20y8gFR0W9u8Yy9NKdpZtSu7.jpg,,,,Netflix,b'\x00',2022-01-27 15:00:00,https://image.tmdb.org/t/p/original/d9yefq8dNke4UbuqStBtUcO9TxD.jpg,99966,,좀비 바이러스 발생의 시발점이 된 고등학교. 이곳에 갇힌 학생들은 필사적으로 탈출구를 찾아야만 한다. 그렇지 않으면 감염되어 좀비가 될 뿐.,지금 우리 학교는
4,,7.831,https://image.tmdb.org/t/p/original/4y6kEEfdrNIUnWnmELkoc3EmgG7.jpg,,,,Netflix,b'\x00',2021-09-16 15:00:00,https://image.tmdb.org/t/p/original/yACIAqAkSLkX4coHafpyLWAtQjw.jpg,93405,,빚에 쫓기는 수백 명의 사람들이 서바이벌 게임에 뛰어든다. 거액의 상금으로 새로운 삶을 시작하기 위해. 하지만 모두 승자가 될 순 없는 법. 탈락하는 이들은 치명적인 결과를 각오해야 한다.,오징어 게임
5,,8.5,https://image.tmdb.org/t/p/original/t5jnpVVWQBnl8B23bx3ijGCHt5L.jpg,,,,MBC,b'\x00',2022-07-28 15:00:00,https://image.tmdb.org/t/p/original/8HTCtxyJWyjVMnxF14tSWJ0GYj4.jpg,155226,,"승률 10%의 생계형 변호사가 우연히 맡게 된 살인 사건에 휘말려 하루아침에 희대의 천재 사기꾼 '빅마우스(Big Mouse)'가 되어 살아남기 위해, 가족을 지키기 위해 거대한 음모로 얼룩진 특권층의 민낯을 파헤쳐 가는 이야기",빅마우스
6,,8.02,https://image.tmdb.org/t/p/original/lcTuggU70y6pt6x13Rv1Ffjs93K.jpg,,,,Netflix,b'\x00',2022-06-23 15:00:00,https://image.tmdb.org/t/p/original/7zLHH6LV6rI6emO0z1U8VZDUkjd.jpg,112836,,통일을 앞둔 미래의 한반도. '교수'라 불리는 수수께끼의 인물이 남과 북의 노련한 도둑들을 모아 희대의 인질극을 꾸민다. 이 작전의 목표는 갓 찍어낸 지폐를 훔쳐 탈출하는 것.,종이의 집: 공동경제구역
7,,8.784,https://image.tmdb.org/t/p/original/4DTKH7meyXpgZgKL4ubkEsg5aSk.jpg,,,,Netflix,b'\x00',2022-09-08 15:00:00,https://image.tmdb.org/t/p/original/4HJq3y539fnuCN9Fn8Vwqgukvhm.jpg,97970,,2022년 9월 Netflix에서 방영을 시작한 범죄물. 남미에서 마약 조직을 운영하는 한국인 마약왕. 그를 체포하려는 정부의 비밀 작전에 한 평범한 사업가가 합류한다.,수리남
8,,8.197,https://image.tmdb.org/t/p/original/lfQnJr9ugRKtl3vhG6IfOOAhN8s.jpg,,,,ENA,b'\x00',2022-07-12 15:00:00,https://image.tmdb.org/t/p/original/yv57TccCkgdy3St7rspBPKROeRK.jpg,197067,,"2022년 6월 ENA에서 방영을 시작한 드라마. 천재적인 두뇌의 소유자이면서 동시에 자폐 스펙트럼 장애를 가진 영우는 강점과 약점을 한 몸에 지니고 있다. 영우의 강점은 우리들 대부분이 범접할 수 없을 만큼 탁월하지만, 영우의 약점은 우리들 대부분이 깜짝 놀랄 만큼 취약하다. 서울대 로스쿨을 수석 졸업하고 변호사 시험에 합격한 우영우가 대형로펌 법무법인 한바다의 변호사가 된다. 신입 변호사이자 자폐 스펙트럼 장애를 가진 여성으로서 그녀는 법정 안팎에서 다양한 난관을 헤쳐 간다.",이상한 변호사 우영우
9,,8.579,https://image.tmdb.org/t/p/original/31N42LhrxltHtS1bHYfZghjPDNB.jpg,,,,tvN,b'\x00',2020-12-08 15:00:00,https://image.tmdb.org/t/p/original/gaCOvKGG2qEnsijNHEAigYcQ1U3.jpg,112888,,외모 콤플렉스를 가지고 있다가 화장을 통해 여신이 된 주경과 남모를 상처를 간직한 수호가 만나 서로의 비밀을 공유하며 성장하는 자존감 회복 로맨틱 코미디,여신강림
10,,7.5,https://image.tmdb.org/t/p/original/ikN8ABD9pXHuW4JFqTEHr3ae8rd.jpg,,,,Netflix,b'\x00',2021-11-18 15:00:00,https://image.tmdb.org/t/p/original/sgTu75c5PJsRHDMSna0ha8bhYWn.jpg,106651,,"어느 날 기이한 존재로부터 지옥행을 선고받은 사람들. 지옥으로부터의 고지를 받은 자는 어김 없이 예정된 시간에 지옥의 사자들에게 끌려가는 일이 서울 한복판에서 모두가 지켜보는 가운데 일어난다. 충격과 두려움에 휩싸인 도시에 대혼란의 시대가 도래한 가운데, 신흥 종교 단체 새진리회의 의장 정진수는 이것이 진정으로 현실 세계에서 일어나고 있는 신의 집행임을 사람들에게 설파한다. 한편 일부는 새진리회에 맞서 싸우며 사건의 실체를 밝히려 한다.",지옥
